host_id,name,state,city,languages,skills,interests,role,price_per_hour,rating,experience_count,availability,verified,is_demo_data
1,Demo Host 001,Telangana,Hyderabad,English | Hindi,Guide,Culture | Adventure,Guide,300,4.6,194,Weekends,True,True
2,Demo Host 002,Telangana,Warangal,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,500,4.8,215,Weekdays & Weekends,True,True
3,Demo Host 003,Andhra Pradesh,Visakhapatnam,English | Tamil,Food Expert,Shopping | Food,Food Expert,400,5.0,28,Weekends,True,True
4,Demo Host 004,Andhra Pradesh,Vijayawada,English | Hindi,Photographer,Heritage | Nature,Photographer,800,4.8,191,Weekdays & Weekends,True,True
5,Demo Host 005,Andhra Pradesh,Tirupati,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,600,4.6,36,Weekends,True,True
6,Demo Host 006,Karnataka,Bengaluru,English | Marathi,Shopping Companion,Photography | Spiritual,Shopping Companion,600,4.9,95,Weekdays & Weekends,True,True
7,Demo Host 007,Karnataka,Mysuru,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,800,4.9,162,Weekends,True,True
8,Demo Host 008,Karnataka,Hampi,English | Hindi,Guide,Heritage | Nature,Guide,600,4.4,113,Weekdays & Weekends,True,True
9,Demo Host 009,Karnataka,Mangaluru,English | Hindi,Local Companion,Culture | Adventure,Local Companion,300,4.3,140,Weekends,True,True
10,Demo Host 010,Tamil Nadu,Chennai,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,1000,4.7,207,Weekdays & Weekends,True,True
11,Demo Host 011,Tamil Nadu,Coimbatore,English | Hindi,Photographer,Shopping | Food,Photographer,300,4.5,190,Weekends,True,True
12,Demo Host 012,Tamil Nadu,Madurai,English | Kannada,Heritage Expert,Heritage | Nature,Heritage Expert,300,4.9,242,Weekdays & Weekends,True,True
13,Demo Host 013,Tamil Nadu,Ooty,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,800,4.4,195,Weekends,True,True
14,Demo Host 014,Kerala,Kochi,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,500,4.2,119,Weekdays & Weekends,True,True
15,Demo Host 015,Kerala,Munnar,English | Bengali,Guide,Shopping | Food,Guide,600,4.7,42,Weekends,True,True
16,Demo Host 016,Kerala,Thiruvananthapuram,English | Hindi,Local Companion,Heritage | Nature,Local Companion,1000,5.0,187,Weekdays & Weekends,True,True
17,Demo Host 017,Kerala,Alappuzha,English | Hindi,Food Expert,Culture | Adventure,Food Expert,500,4.5,84,Weekends,True,True
18,Demo Host 018,Maharashtra,Mumbai,English | Telugu,Photographer,Photography | Spiritual,Photographer,300,4.4,120,Weekdays & Weekends,True,True
19,Demo Host 019,Maharashtra,Pune,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,500,4.6,36,Weekends,True,True
20,Demo Host 020,Maharashtra,Nashik,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,400,4.7,60,Weekdays & Weekends,True,True
21,Demo Host 021,Rajasthan,Jaipur,English | Malayalam,Nature Guide,Culture | Adventure,Nature Guide,1000,4.9,112,Weekends,True,True
22,Demo Host 022,Rajasthan,Udaipur,English | Hindi,Guide,Photography | Spiritual,Guide,600,4.4,176,Weekdays & Weekends,True,True
23,Demo Host 023,Rajasthan,Jodhpur,English | Hindi,Local Companion,Shopping | Food,Local Companion,800,4.8,208,Weekends,True,True
24,Demo Host 024,Delhi,New Delhi,English | English,Food Expert,Heritage | Nature,Food Expert,1000,4.4,99,Weekdays & Weekends,True,True
25,Demo Host 025,Uttar Pradesh,Agra,English | Hindi,Photographer,Culture | Adventure,Photographer,400,4.3,172,Weekends,True,True
26,Demo Host 026,Uttar Pradesh,Varanasi,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,800,4.2,53,Weekdays & Weekends,True,True
27,Demo Host 027,Goa,Panaji,English | Tamil,Shopping Companion,Shopping | Food,Shopping Companion,800,4.7,197,Weekends,True,True
28,Demo Host 028,Goa,North Goa,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,500,4.8,177,Weekdays & Weekends,True,True
29,Demo Host 029,West Bengal,Kolkata,English | Hindi,Guide,Culture | Adventure,Guide,600,4.7,117,Weekends,True,True
30,Demo Host 030,Assam,Guwahati,English | Marathi,Local Companion,Photography | Spiritual,Local Companion,300,4.3,39,Weekdays & Weekends,True,True
31,Demo Host 031,Himachal Pradesh,Manali,English | Hindi,Food Expert,Shopping | Food,Food Expert,500,4.6,168,Weekends,True,True
32,Demo Host 032,Himachal Pradesh,Shimla,English | Hindi,Photographer,Heritage | Nature,Photographer,1000,4.8,143,Weekdays & Weekends,True,True
33,Demo Host 033,Uttarakhand,Rishikesh,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,600,4.6,160,Weekends,True,True
34,Demo Host 034,Uttarakhand,Dehradun,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,300,4.4,142,Weekdays & Weekends,True,True
35,Demo Host 035,Jammu and Kashmir,Srinagar,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,600,4.5,12,Weekends,True,True
36,Demo Host 036,Ladakh,Leh,English | Kannada,Guide,Heritage | Nature,Guide,1000,4.5,57,Weekdays & Weekends,True,True
37,Demo Host 037,Odisha,Bhubaneswar,English | Hindi,Local Companion,Culture | Adventure,Local Companion,1000,4.4,214,Weekends,True,True
38,Demo Host 038,Odisha,Puri,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,800,4.4,19,Weekdays & Weekends,True,True
39,Demo Host 039,Punjab,Amritsar,English | Bengali,Photographer,Shopping | Food,Photographer,1000,4.7,76,Weekends,True,True
40,Demo Host 040,Gujarat,Ahmedabad,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,300,4.8,141,Weekdays & Weekends,True,True
41,Demo Host 041,Telangana,Hyderabad,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,1000,4.5,167,Weekends,True,True
42,Demo Host 042,Telangana,Warangal,English | Telugu,Nature Guide,Photography | Spiritual,Nature Guide,500,4.3,204,Weekdays & Weekends,True,True
43,Demo Host 043,Andhra Pradesh,Visakhapatnam,English | Hindi,Guide,Shopping | Food,Guide,500,4.3,10,Weekends,True,True
44,Demo Host 044,Andhra Pradesh,Vijayawada,English | Hindi,Local Companion,Heritage | Nature,Local Companion,800,4.6,181,Weekdays & Weekends,True,True
45,Demo Host 045,Andhra Pradesh,Tirupati,English | Malayalam,Food Expert,Culture | Adventure,Food Expert,800,4.6,44,Weekends,True,True
46,Demo Host 046,Karnataka,Bengaluru,English | Hindi,Photographer,Photography | Spiritual,Photographer,1000,4.8,42,Weekdays & Weekends,True,True
47,Demo Host 047,Karnataka,Mysuru,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,500,4.5,114,Weekends,True,True
48,Demo Host 048,Karnataka,Hampi,English | English,Shopping Companion,Heritage | Nature,Shopping Companion,400,4.7,78,Weekdays & Weekends,True,True
49,Demo Host 049,Karnataka,Mangaluru,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,600,4.3,93,Weekends,True,True
50,Demo Host 050,Tamil Nadu,Chennai,English | Hindi,Guide,Photography | Spiritual,Guide,500,5.0,33,Weekdays & Weekends,True,True
51,Demo Host 051,Tamil Nadu,Coimbatore,English | Tamil,Local Companion,Shopping | Food,Local Companion,500,4.8,227,Weekends,True,True
52,Demo Host 052,Tamil Nadu,Madurai,English | Hindi,Food Expert,Heritage | Nature,Food Expert,500,5.0,70,Weekdays & Weekends,True,True
53,Demo Host 053,Tamil Nadu,Ooty,English | Hindi,Photographer,Culture | Adventure,Photographer,400,4.8,195,Weekends,True,True
54,Demo Host 054,Kerala,Kochi,English | Marathi,Heritage Expert,Photography | Spiritual,Heritage Expert,800,4.4,115,Weekdays & Weekends,True,True
55,Demo Host 055,Kerala,Munnar,English | Hindi,Shopping Companion,Shopping | Food,Shopping Companion,300,4.9,28,Weekends,True,True
56,Demo Host 056,Kerala,Thiruvananthapuram,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,300,4.4,116,Weekdays & Weekends,True,True
57,Demo Host 057,Kerala,Alappuzha,English | Hindi,Guide,Culture | Adventure,Guide,800,4.7,79,Weekends,True,True
58,Demo Host 058,Maharashtra,Mumbai,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,600,4.9,48,Weekdays & Weekends,True,True
59,Demo Host 059,Maharashtra,Pune,English | Hindi,Food Expert,Shopping | Food,Food Expert,300,4.8,190,Weekends,True,True
60,Demo Host 060,Maharashtra,Nashik,English | Kannada,Photographer,Heritage | Nature,Photographer,600,4.7,110,Weekdays & Weekends,True,True
61,Demo Host 061,Rajasthan,Jaipur,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,300,4.7,148,Weekends,True,True
62,Demo Host 062,Rajasthan,Udaipur,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,600,4.5,25,Weekdays & Weekends,True,True
63,Demo Host 063,Rajasthan,Jodhpur,English | Bengali,Nature Guide,Shopping | Food,Nature Guide,800,4.6,15,Weekends,True,True
64,Demo Host 064,Delhi,New Delhi,English | Hindi,Guide,Heritage | Nature,Guide,400,4.3,85,Weekdays & Weekends,True,True
65,Demo Host 065,Uttar Pradesh,Agra,English | Hindi,Local Companion,Culture | Adventure,Local Companion,800,4.7,30,Weekends,True,True
66,Demo Host 066,Uttar Pradesh,Varanasi,English | Telugu,Food Expert,Photography | Spiritual,Food Expert,800,4.9,46,Weekdays & Weekends,True,True
67,Demo Host 067,Goa,Panaji,English | Hindi,Photographer,Shopping | Food,Photographer,1000,4.5,147,Weekends,True,True
68,Demo Host 068,Goa,North Goa,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,600,4.2,149,Weekdays & Weekends,True,True
69,Demo Host 069,West Bengal,Kolkata,English | Malayalam,Shopping Companion,Culture | Adventure,Shopping Companion,300,4.6,239,Weekends,True,True
70,Demo Host 070,Assam,Guwahati,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,500,4.3,196,Weekdays & Weekends,True,True
71,Demo Host 071,Himachal Pradesh,Manali,English | Hindi,Guide,Shopping | Food,Guide,400,4.6,124,Weekends,True,True
72,Demo Host 072,Himachal Pradesh,Shimla,English | English,Local Companion,Heritage | Nature,Local Companion,500,4.7,234,Weekdays & Weekends,True,True
73,Demo Host 073,Uttarakhand,Rishikesh,English | Hindi,Food Expert,Culture | Adventure,Food Expert,600,4.4,121,Weekends,True,True
74,Demo Host 074,Uttarakhand,Dehradun,English | Hindi,Photographer,Photography | Spiritual,Photographer,1000,4.6,86,Weekdays & Weekends,True,True
75,Demo Host 075,Jammu and Kashmir,Srinagar,English | Tamil,Heritage Expert,Shopping | Food,Heritage Expert,1000,4.2,112,Weekends,True,True
76,Demo Host 076,Ladakh,Leh,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,500,4.9,207,Weekdays & Weekends,True,True
77,Demo Host 077,Odisha,Bhubaneswar,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,600,4.6,39,Weekends,True,True
78,Demo Host 078,Odisha,Puri,English | Marathi,Guide,Photography | Spiritual,Guide,400,4.7,31,Weekdays & Weekends,True,True
79,Demo Host 079,Punjab,Amritsar,English | Hindi,Local Companion,Shopping | Food,Local Companion,300,4.7,73,Weekends,True,True
80,Demo Host 080,Gujarat,Ahmedabad,English | Hindi,Food Expert,Heritage | Nature,Food Expert,800,4.8,183,Weekdays & Weekends,True,True
81,Demo Host 081,Telangana,Hyderabad,English | Hindi,Photographer,Culture | Adventure,Photographer,400,4.9,31,Weekends,True,True
82,Demo Host 082,Telangana,Warangal,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,1000,4.2,61,Weekdays & Weekends,True,True
83,Demo Host 083,Andhra Pradesh,Visakhapatnam,English | Hindi,Shopping Companion,Shopping | Food,Shopping Companion,300,4.5,140,Weekends,True,True
84,Demo Host 084,Andhra Pradesh,Vijayawada,English | Kannada,Nature Guide,Heritage | Nature,Nature Guide,400,4.8,208,Weekdays & Weekends,True,True
85,Demo Host 085,Andhra Pradesh,Tirupati,English | Hindi,Guide,Culture | Adventure,Guide,1000,5.0,82,Weekends,True,True
86,Demo Host 086,Karnataka,Bengaluru,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,600,4.6,76,Weekdays & Weekends,True,True
87,Demo Host 087,Karnataka,Mysuru,English | Bengali,Food Expert,Shopping | Food,Food Expert,1000,4.9,67,Weekends,True,True
88,Demo Host 088,Karnataka,Hampi,English | Hindi,Photographer,Heritage | Nature,Photographer,400,4.2,45,Weekdays & Weekends,True,True
89,Demo Host 089,Karnataka,Mangaluru,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,400,5.0,111,Weekends,True,True
90,Demo Host 090,Tamil Nadu,Chennai,English | Telugu,Shopping Companion,Photography | Spiritual,Shopping Companion,300,4.8,223,Weekdays & Weekends,True,True
91,Demo Host 091,Tamil Nadu,Coimbatore,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,1000,4.9,223,Weekends,True,True
92,Demo Host 092,Tamil Nadu,Madurai,English | Hindi,Guide,Heritage | Nature,Guide,300,4.5,132,Weekdays & Weekends,True,True
93,Demo Host 093,Tamil Nadu,Ooty,English | Malayalam,Local Companion,Culture | Adventure,Local Companion,300,4.7,194,Weekends,True,True
94,Demo Host 094,Kerala,Kochi,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,500,4.3,96,Weekdays & Weekends,True,True
95,Demo Host 095,Kerala,Munnar,English | Hindi,Photographer,Shopping | Food,Photographer,800,4.4,187,Weekends,True,True
96,Demo Host 096,Kerala,Thiruvananthapuram,English | English,Heritage Expert,Heritage | Nature,Heritage Expert,300,4.4,234,Weekdays & Weekends,True,True
97,Demo Host 097,Kerala,Alappuzha,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,300,4.9,35,Weekends,True,True
98,Demo Host 098,Maharashtra,Mumbai,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,1000,4.3,42,Weekdays & Weekends,True,True
99,Demo Host 099,Maharashtra,Pune,English | Tamil,Guide,Shopping | Food,Guide,500,4.9,151,Weekends,True,True
100,Demo Host 100,Maharashtra,Nashik,English | Hindi,Local Companion,Heritage | Nature,Local Companion,300,4.4,53,Weekdays & Weekends,True,True
101,Demo Host 101,Rajasthan,Jaipur,English | Hindi,Food Expert,Culture | Adventure,Food Expert,1000,5.0,195,Weekends,True,True
102,Demo Host 102,Rajasthan,Udaipur,English | Marathi,Photographer,Photography | Spiritual,Photographer,500,4.3,127,Weekdays & Weekends,True,True
103,Demo Host 103,Rajasthan,Jodhpur,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,1000,4.4,8,Weekends,True,True
104,Demo Host 104,Delhi,New Delhi,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,400,4.7,37,Weekdays & Weekends,True,True
105,Demo Host 105,Uttar Pradesh,Agra,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,1000,4.6,34,Weekends,True,True
106,Demo Host 106,Uttar Pradesh,Varanasi,English | Hindi,Guide,Photography | Spiritual,Guide,1000,4.7,175,Weekdays & Weekends,True,True
107,Demo Host 107,Goa,Panaji,English | Hindi,Local Companion,Shopping | Food,Local Companion,500,4.8,53,Weekends,True,True
108,Demo Host 108,Goa,North Goa,English | Kannada,Food Expert,Heritage | Nature,Food Expert,300,4.8,180,Weekdays & Weekends,True,True
109,Demo Host 109,West Bengal,Kolkata,English | Hindi,Photographer,Culture | Adventure,Photographer,800,4.3,37,Weekends,True,True
110,Demo Host 110,Assam,Guwahati,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,600,4.5,232,Weekdays & Weekends,True,True
111,Demo Host 111,Himachal Pradesh,Manali,English | Bengali,Shopping Companion,Shopping | Food,Shopping Companion,1000,4.6,78,Weekends,True,True
112,Demo Host 112,Himachal Pradesh,Shimla,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,600,5.0,167,Weekdays & Weekends,True,True
113,Demo Host 113,Uttarakhand,Rishikesh,English | Hindi,Guide,Culture | Adventure,Guide,600,4.9,75,Weekends,True,True
114,Demo Host 114,Uttarakhand,Dehradun,English | Telugu,Local Companion,Photography | Spiritual,Local Companion,500,4.6,11,Weekdays & Weekends,True,True
115,Demo Host 115,Jammu and Kashmir,Srinagar,English | Hindi,Food Expert,Shopping | Food,Food Expert,300,4.3,160,Weekends,True,True
116,Demo Host 116,Ladakh,Leh,English | Hindi,Photographer,Heritage | Nature,Photographer,800,4.5,39,Weekdays & Weekends,True,True
117,Demo Host 117,Odisha,Bhubaneswar,English | Malayalam,Heritage Expert,Culture | Adventure,Heritage Expert,300,4.7,241,Weekends,True,True
118,Demo Host 118,Odisha,Puri,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,400,4.8,233,Weekdays & Weekends,True,True
119,Demo Host 119,Punjab,Amritsar,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,500,4.8,119,Weekends,True,True
120,Demo Host 120,Gujarat,Ahmedabad,English | English,Guide,Heritage | Nature,Guide,1000,4.3,9,Weekdays & Weekends,True,True
121,Demo Host 121,Telangana,Hyderabad,English | Hindi,Local Companion,Culture | Adventure,Local Companion,400,4.8,208,Weekends,True,True
122,Demo Host 122,Telangana,Warangal,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,500,4.6,61,Weekdays & Weekends,True,True
123,Demo Host 123,Andhra Pradesh,Visakhapatnam,English | Tamil,Photographer,Shopping | Food,Photographer,800,4.9,153,Weekends,True,True
124,Demo Host 124,Andhra Pradesh,Vijayawada,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,800,4.5,152,Weekdays & Weekends,True,True
125,Demo Host 125,Andhra Pradesh,Tirupati,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,300,4.5,96,Weekends,True,True
126,Demo Host 126,Karnataka,Bengaluru,English | Marathi,Nature Guide,Photography | Spiritual,Nature Guide,300,4.9,164,Weekdays & Weekends,True,True
127,Demo Host 127,Karnataka,Mysuru,English | Hindi,Guide,Shopping | Food,Guide,400,4.4,116,Weekends,True,True
128,Demo Host 128,Karnataka,Hampi,English | Hindi,Local Companion,Heritage | Nature,Local Companion,400,4.8,62,Weekdays & Weekends,True,True
129,Demo Host 129,Karnataka,Mangaluru,English | Hindi,Food Expert,Culture | Adventure,Food Expert,1000,4.3,205,Weekends,True,True
130,Demo Host 130,Tamil Nadu,Chennai,English | Hindi,Photographer,Photography | Spiritual,Photographer,1000,4.7,21,Weekdays & Weekends,True,True
