State Code,District Code,Sub District Code,Town-Village Code,city_or_town_name,source
1,0,0,800013,Srinagar (M Corp. + OG),Census 2011 urban-name heuristic
1,0,0,800033,Anantnag (M Cl + OG),Census 2011 urban-name heuristic
1,1,1,123,Dara Pora (CT),Census 2011 urban-name heuristic
1,1,1,124,Sool Koot (CT),Census 2011 urban-name heuristic
1,1,1,125,Heri (CT),Census 2011 urban-name heuristic
1,1,1,126,Trehgam (CT),Census 2011 urban-name heuristic
1,1,1,127,Kral Pora (CT),Census 2011 urban-name heuristic
1,1,1,128,Drug Mulla (CT),Census 2011 urban-name heuristic
1,1,1,800001,Kupwara (MC),Census 2011 urban-name heuristic
1,1,2,800002,Handwara (MC),Census 2011 urban-name heuristic
1,1,3,369,Tangdhar (CT),Census 2011 urban-name heuristic
1,1,3,370,Nowangabra (CT),Census 2011 urban-name heuristic
1,2,5,800016,Magam (MC),Census 2011 urban-name heuristic
1,2,5,800017,Beerwah (MC),Census 2011 urban-name heuristic
1,2,6,800018,Khansahib (MC),Census 2011 urban-name heuristic
1,2,7,720,Ichgam (CT),Census 2011 urban-name heuristic
1,2,7,800019,Badgam (MC),Census 2011 urban-name heuristic
1,2,8,829,Nagam (CT),Census 2011 urban-name heuristic
1,2,8,830,Kral Pora (CT),Census 2011 urban-name heuristic
1,2,8,2837,Shanker Pora (OG),Census 2011 urban-name heuristic
1,2,8,2838,Machwa (Nusratpora) (OG),Census 2011 urban-name heuristic
1,2,8,2839,Dharam Bagh (OG),Census 2011 urban-name heuristic
1,2,8,2840,Gopal Pora (OG),Census 2011 urban-name heuristic
1,2,8,2841,Wathora (OG),Census 2011 urban-name heuristic
1,2,8,800013,Srinagar (M Corp. + OG) (Part),Census 2011 urban-name heuristic
1,2,8,800020,Chadura (MC),Census 2011 urban-name heuristic
1,2,9,800021,Charar-i-Sharief (MC),Census 2011 urban-name heuristic
1,3,10,909,Spituk (CT),Census 2011 urban-name heuristic
1,3,10,910,Chuglamsar (CT),Census 2011 urban-name heuristic
1,3,10,800047,Leh Ladakh (MC),Census 2011 urban-name heuristic
1,4,13,800048,Kargil (MC),Census 2011 urban-name heuristic
1,5,16,800062,Punch (M Cl),Census 2011 urban-name heuristic
1,5,18,1233,Naka Majiari (CT),Census 2011 urban-name heuristic
1,5,19,800063,Surankote (MC),Census 2011 urban-name heuristic
1,6,20,800064,Thanamandi (MC),Census 2011 urban-name heuristic
1,6,22,800065,Rajauri (MC),Census 2011 urban-name heuristic
1,6,25,800066,Nowshehra (MC),Census 2011 urban-name heuristic
1,6,26,800067,Sunderbani (MC),Census 2011 urban-name heuristic
1,7,27,800081,Billawar (MC),Census 2011 urban-name heuristic
1,7,28,800082,Bashohli (MC),Census 2011 urban-name heuristic
1,7,30,1962,Taraf Manjali (OG),Census 2011 urban-name heuristic
1,7,30,1963,Chak Sheikhan (OG),Census 2011 urban-name heuristic
1,7,30,1964,Chak Ram Singh (OG),Census 2011 urban-name heuristic
1,7,30,1965,Govindsar (OG),Census 2011 urban-name heuristic
1,7,30,1966,Chak Khuni (OG),Census 2011 urban-name heuristic
