city_name,source
Agartala,existing tourism/POI datasets
Agra,existing tourism/POI datasets
Ahmedabad,existing tourism/POI datasets
Almora,existing tourism/POI datasets
Bangalore,existing tourism/POI datasets
Belagavi,existing tourism/POI datasets
Bengaluru,existing tourism/POI datasets
Bhuj,existing tourism/POI datasets
Chandigarh,existing tourism/POI datasets
Chennai,existing tourism/POI datasets
Chennai / Kolkata (mainland gateways by air),existing tourism/POI datasets
Coimbatore,existing tourism/POI datasets
Dalhousie,existing tourism/POI datasets
Dehradun,existing tourism/POI datasets
Delhi,existing tourism/POI datasets
Delhi / Ahmedabad (depending segment),existing tourism/POI datasets
Gangtok,existing tourism/POI datasets
Guwahati,existing tourism/POI datasets
Haldwani,existing tourism/POI datasets
Haridwar,existing tourism/POI datasets
Hospet,existing tourism/POI datasets
Hyderabad,existing tourism/POI datasets
Itanagar,existing tourism/POI datasets
Jabalpur,existing tourism/POI datasets
Jabalpur / Bilaspur,existing tourism/POI datasets
Jagdalpur,existing tourism/POI datasets
Jaipur,existing tourism/POI datasets
Jhansi,existing tourism/POI datasets
Jodhpur,existing tourism/POI datasets
Jorhat,existing tourism/POI datasets
Jowai,existing tourism/POI datasets
Karwar,existing tourism/POI datasets
Kochi,existing tourism/POI datasets
Kochi (gateway by air/sea),existing tourism/POI datasets
Kochi (main mainland gateway),existing tourism/POI datasets
Kochi (mainland gateway),existing tourism/POI datasets
Kolkata,existing tourism/POI datasets
Kozhikode,existing tourism/POI datasets
Lahore (Pakistan) / Jalandhar (India),existing tourism/POI datasets
Leh,existing tourism/POI datasets
Madurai,existing tourism/POI datasets
Manali,existing tourism/POI datasets
Manali (gateway),existing tourism/POI datasets
Mangaluru,existing tourism/POI datasets
Mangaluru / Kozhikode,existing tourism/POI datasets
Margao,existing tourism/POI datasets
Mumbai,existing tourism/POI datasets
Munnar,existing tourism/POI datasets
Mussoorie,existing tourism/POI datasets
Mysuru,existing tourism/POI datasets
Nagpur,existing tourism/POI datasets
Patna,existing tourism/POI datasets
Pithoragarh,existing tourism/POI datasets
Port Blair,existing tourism/POI datasets
Prayagraj,existing tourism/POI datasets
Pune,existing tourism/POI datasets
Puri,existing tourism/POI datasets
Rameswaram,existing tourism/POI datasets
Rishikesh,existing tourism/POI datasets
Satna / Jhansi,existing tourism/POI datasets
Shillong,existing tourism/POI datasets
Shimla,existing tourism/POI datasets
Siliguri,existing tourism/POI datasets
Srinagar,existing tourism/POI datasets
Thiruvananthapuram,existing tourism/POI datasets
Udupi / Mangaluru,existing tourism/POI datasets
Vellore / Chennai,existing tourism/POI datasets
Visakhapatnam,existing tourism/POI datasets
