hotel_name,hotel_rating,city,amenities,hotel_price
Crowne Plaza Kochi,4.6,Kochi,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",8854.0
Trident Hotel Cochin,4.5,Kochi,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",6441.0
The Galaxy Suites,3.8,Kochi,"Apartment, Sleeps 10, Free parking, Free Wi-Fi, No air conditioning, No airport shuttle, No beach access, No elevator, No fireplace",831.0
The Renai cochin,4.2,Kochi,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",2768.0
Ramada by Wyndham Kochi,4.5,Kochi,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",8938.0
"Radisson Blu Hotel, Kochi",4.3,Kochi,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",6061.0
"Holiday Inn Cochin, an IHG Hotel",4.4,Kochi,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant",5689.0
OAK FIELD INN,3.8,Kochi,"Free breakfast, Wi-Fi, Free parking, Air conditioning, Restaurant, Kitchen, Full-service laundry, Kid-friendly, 0",819.0
Grand Hyatt Kochi Bolgatty,4.7,Kochi,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",14282.0
Hotel South Gate Residency,3.9,Kochi,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Airport shuttle, Full-service laundry, Kid-friendly",1051.0
Cherai Beach Resorts,3.9,Kochi,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Beach access",3281.0
North Centre Hotel,4.7,Kochi,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Airport shuttle, Full-service laundry, Kid-friendly, Smoke-free",1118.0
Boche Island - Kumbalangi,4.1,Kochi,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Spa, Restaurant",5855.0
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,Kochi,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Spa, Restaurant, Room service",4692.0
