poi_name,Latitude,Longitude,destination_name,DestinationID,source_city,Characteristics
Dhyanlinga Meditation and Yoga Centre,10.977986788660548,76.73528133288228,Dhyanlinga Meditation and Yoga Centre,1,Coimbatore,
Adiyogi Shiva Statue,10.972466202865368,76.74043962820583,Adiyogi Shiva Statue,2,Coimbatore,
Isha Yoga Temple,10.976271870769732,76.73668682454117,Isha Yoga Temple,3,Coimbatore,
Narasipuram Multi Step Waterfall,10.979833160911491,76.76020692695636,Narasipuram Multi Step Waterfall,4,Coimbatore,
Kovai Kutralam Waterfall,10.939689228463314,76.69075279864468,Kovai Kutralam Waterfall,5,Coimbatore,
Siruvani Waterfall,10.939689228463314,76.69075279864468,Siruvani Waterfall,6,Coimbatore,
Masaniamman Temple,11.00493672205332,77.02161733908963,Masaniamman Temple,7,Coimbatore,
Kodiveri Waterfall and Dam,11.47345617877407,77.29596575547772,Kodiveri Waterfall and Dam,8,Coimbatore,
Monkey Waterfalls,10.45798930896483,76.96955092545068,Monkey Waterfalls,9,Coimbatore,
Siruvani Dam,10.975262318536188,76.64205142798339,Siruvani Dam,10,Coimbatore,
Marudhamalai Temple,11.044127756108248,76.86257777889783,Marudhamalai Temple,11,Coimbatore,
Gedee Car Museum,11.006609365701935,76.97788440742247,Gedee Car Museum,12,Coimbatore,
Gedee Science Museum,11.007615304076536,76.97845573707707,Gedee Science Museum,13,Coimbatore,
VOC Ground Amusement Park,11.004939407611747,76.97149315389224,VOC Ground Amusement Park,14,Coimbatore,
St Maichaels Cathedral,10.995432855170934,76.96509562047844,St Maichaels Cathedral,15,Coimbatore,
Sungam Lake Boating,10.992606713257585,76.97651765755097,Sungam Lake Boating,16,Coimbatore,
Ernatica Sea World Amusement Park,10.9870639099459,76.95713529319984,Ernatica Sea World Amusement Park,17,Coimbatore,
Diwan Bhadur Rd Shopping,11.007212685204308,76.9509645547569,Diwan Bhadur Rd Shopping,18,Coimbatore,
Cross Cut Road Shopping,11.020402612428272,76.96817688403841,Cross Cut Road Shopping,19,Coimbatore,
VellianGiri Sivan Hill Temple,10.988869169966092,76.68654893629319,VellianGiri Sivan Hill Temple,20,Coimbatore,
VellianGiri Temple Trail Trek,10.984899490308315,76.69047090890487,VellianGiri Temple Trail Trek,21,Coimbatore,
Bheeman Immovable Stone,10.982284568015862,76.69890108549431,Bheeman Immovable Stone,22,Coimbatore,
Arulmigu Sri Eachanari Vinayagar Temple,10.923925929884405,76.98234593531413,Arulmigu Sri Eachanari Vinayagar Temple,23,Coimbatore,
Black Thunder Water Theme Park,11.326403135309777,76.91264025491,Black Thunder Water Theme Park,24,Coimbatore,
Exotic Bird Park,11.320729420126328,76.91743680798773,Exotic Bird Park,25,Coimbatore,
Connoor Wellington Gymkhana Club,11.360291841091591,76.79616822151533,Connoor Wellington Gymkhana Club,26,Coimbatore,
Coonnoor Sims Park,11.356774890551655,76.80011415223275,Coonnoor Sims Park,27,Coimbatore,
Connoor Sims Park Hidden Valley Fountain,11.36796375922254,76.79541367328855,Connoor Sims Park Hidden Valley Fountain,28,Coimbatore,
Hillgrove Scenec Train Pass,11.342562120945487,76.83640883277735,Hillgrove Scenec Train Pass,29,Coimbatore,
Dolphin Nose View Point Coonnoor,11.368404544539157,76.85848486090309,Dolphin Nose View Point Coonnoor,30,Coimbatore,
Burliyar Bridge,11.344238554306138,76.8500370839478,Burliyar Bridge,31,Coimbatore,
Connoor madras Regiment Museum,11.365732707647313,76.78801726354133,Connoor madras Regiment Museum,32,Coimbatore,
Connoor Black Bridge,11.360837020182512,76.78062980795606,Connoor Black Bridge,33,Coimbatore,
Coonnoor manekshaw Bridge,11.361540970469482,76.78101550088815,Coonnoor manekshaw Bridge,34,Coimbatore,
