user_id,preferences,gender,number_of_adults,number_of_children
1,"Beaches, Historical",Female,1,0
2,"Nature, Adventure",Male,2,2
3,"City, Historical",Female,2,0
4,"Beaches, Historical",Female,1,0
5,"Nature, Adventure",Female,2,2
6,"City, Historical",Male,2,0
7,"Beaches, Historical",Male,2,1
8,"Nature, Adventure",Male,2,2
9,"City, Historical",Female,2,0
10,"Beaches, Historical",Male,2,2
11,"Nature, Adventure",Male,2,2
12,"City, Historical",Female,1,1
13,"Beaches, Historical",Male,1,2
14,"Nature, Adventure",Female,2,2
15,"City, Historical",Male,1,2
16,"Beaches, Historical",Female,1,2
17,"Nature, Adventure",Female,1,2
18,"City, Historical",Male,1,0
19,"Beaches, Historical",Female,1,2
20,"Nature, Adventure",Female,2,0
21,"City, Historical",Male,1,0
22,"Beaches, Historical",Male,2,1
23,"Nature, Adventure",Male,2,1
24,"City, Historical",Male,1,2
25,"Beaches, Historical",Female,1,1
26,"Nature, Adventure",Male,2,0
27,"City, Historical",Female,2,2
28,"Beaches, Historical",Female,2,1
29,"Nature, Adventure",Female,2,0
30,"City, Historical",Female,1,1
31,"Beaches, Historical",Male,2,2
32,"Nature, Adventure",Female,1,1
33,"City, Historical",Male,2,2
34,"Beaches, Historical",Female,1,2
35,"Nature, Adventure",Male,2,1
36,"City, Historical",Male,2,2
37,"Beaches, Historical",Male,1,2
38,"Nature, Adventure",Female,2,2
39,"City, Historical",Male,2,2
40,"Beaches, Historical",Male,1,1
41,"Nature, Adventure",Male,1,2
42,"City, Historical",Female,2,2
43,"Beaches, Historical",Female,1,2
44,"Nature, Adventure",Male,2,2
45,"City, Historical",Female,2,0
46,"Beaches, Historical",Female,2,1
47,"Nature, Adventure",Female,2,1
48,"City, Historical",Male,2,0
49,"Beaches, Historical",Male,1,1
50,"Nature, Adventure",Female,2,0
51,"City, Historical",Male,1,1
52,"Beaches, Historical",Female,2,1
53,"Nature, Adventure",Male,2,2
54,"City, Historical",Male,2,0
55,"Beaches, Historical",Female,2,0
56,"Nature, Adventure",Male,1,1
57,"City, Historical",Male,2,0
58,"Beaches, Historical",Male,1,2
59,"Nature, Adventure",Male,1,1
60,"City, Historical",Male,2,1
61,"Beaches, Historical",Male,2,2
62,"Nature, Adventure",Male,1,0
63,"City, Historical",Male,2,0
64,"Beaches, Historical",Male,1,1
65,"Nature, Adventure",Female,2,1
66,"City, Historical",Male,1,2
67,"Beaches, Historical",Female,1,0
68,"Nature, Adventure",Male,1,0
69,"City, Historical",Male,1,0
70,"Beaches, Historical",Male,1,2
71,"Nature, Adventure",Female,2,2
72,"City, Historical",Male,2,1
73,"Beaches, Historical",Female,1,1
74,"Nature, Adventure",Male,1,1
75,"City, Historical",Male,1,1
76,"Beaches, Historical",Female,2,0
77,"Nature, Adventure",Male,2,0
78,"City, Historical",Male,1,0
79,"Beaches, Historical",Male,2,0
80,"Nature, Adventure",Female,1,2
81,"City, Historical",Female,1,2
82,"Beaches, Historical",Male,2,0
83,"Nature, Adventure",Female,1,1
84,"City, Historical",Female,2,0
85,"Beaches, Historical",Female,2,1
86,"Nature, Adventure",Male,2,2
87,"City, Historical",Male,2,2
88,"Beaches, Historical",Male,2,1
89,"Nature, Adventure",Male,2,0
90,"City, Historical",Female,1,0
91,"Beaches, Historical",Male,2,1
92,"Nature, Adventure",Female,2,0
93,"City, Historical",Female,1,0
94,"Beaches, Historical",Male,1,2
95,"Nature, Adventure",Female,2,1
96,"City, Historical",Male,1,0
97,"Beaches, Historical",Male,1,2
98,"Nature, Adventure",Male,2,0
99,"City, Historical",Male,2,0
100,"Beaches, Historical",Female,1,1
101,"Nature, Adventure",Female,2,0
102,"City, Historical",Female,1,2
103,"Beaches, Historical",Female,1,0
104,"Nature, Adventure",Male,2,1
105,"City, Historical",Male,1,0
106,"Beaches, Historical",Male,1,0
107,"Nature, Adventure",Female,1,1
108,"City, Historical",Male,2,0
109,"Beaches, Historical",Female,2,0
110,"Nature, Adventure",Female,1,1
111,"City, Historical",Male,2,0
112,"Beaches, Historical",Male,1,2
113,"Nature, Adventure",Male,1,0
114,"City, Historical",Male,1,0
115,"Beaches, Historical",Female,1,1
116,"Nature, Adventure",Male,1,1
117,"City, Historical",Male,2,1
118,"Beaches, Historical",Male,1,1
119,"Nature, Adventure",Male,2,0
120,"City, Historical",Male,1,2
121,"Beaches, Historical",Female,2,2
122,"Nature, Adventure",Male,2,2
123,"City, Historical",Female,2,1
